wavelength,intensity
150.3377,0.0001174991558535142
150.8198,1.9874163937621423e-06
151.3019,7.5590834972007815e-06
151.784,3.581703577386843e-05
152.2661,0.0
152.7483,0.0
153.2304,2.829209030576916e-06
153.7125,0.0
154.1946,3.726894366765175e-05
154.6767,0.0
155.1588,3.1712314184682296e-05
155.641,4.051537011681376e-05
156.1231,0.0
156.6052,9.43916434392073e-05
157.0873,5.479092964225157e-05
157.5694,2.7907064799784934e-06
158.0515,0.0
158.5337,0.0
159.0158,3.53883424074429e-05
159.4979,2.429693802692185e-05
159.98,0.0
160.4621,3.218805458480219e-05
160.9442,0.0
161.4264,0.00015079090393332453
161.9085,0.0
162.3906,0.00010671008309053998
162.8727,3.241263668157629e-05
163.3548,4.752647885349312e-05
163.8369,0.0
164.3191,2.6916914888314255e-05
164.8012,4.6072854178882596e-05
165.2833,0.0
165.7654,9.269621542212428e-05
166.2475,5.3485646104061115e-05
166.7296,9.042440642310795e-05
167.2118,0.00011038641518536246
167.6939,6.022332535469802e-05
168.176,0.0
168.6581,0.0
169.1402,0.00014731011496269816
169.6223,7.750428873465287e-05
170.1045,9.488910925041483e-05
170.5866,0.00012191798224670562
171.0687,0.00014080675234082443
171.5508,0.0001190954160343376
172.0329,0.0001075881890157545
172.515,8.963770608849023e-05
172.9972,4.9714460601061054e-05
173.4793,0.00011433194011225608
173.9614,1.6399279655420342e-05
174.4435,5.918731340783547e-05
174.9256,0.00015168727082003647
175.4077,0.00013105163778386462
175.8899,3.167675612444621e-05
176.372,0.00016136314034018585
176.8541,0.0001844875775313382
177.3362,0.0001163045901129165
177.8183,0.00018440103567461945
178.3004,0.000243979003034481
178.7826,0.00022817026077096638
179.2647,0.00015608105804640273
179.7468,0.0001559507474839116
180.2289,0.0002486763235423772
180.711,0.0003512449151115268
181.1931,0.0002077751613159855
181.6752,0.000193158166602067
182.1574,0.0002804709711527596
182.6395,0.0002589578103811823
183.1216,0.00032975773022475276
183.6037,0.0002643207692075817
184.0858,0.00025819488902103404
184.5679,0.0003113872896262332
185.0501,0.00032020994740588883
185.5322,0.0003290808966834864
186.0143,0.00021897659096209345
186.4964,0.0003731418905946312
186.9785,0.0003311171216217354
187.4606,0.00033090846133563
187.9428,0.0003867514682932197
188.4249,0.00040315715083403934
188.907,0.00040617345000120797
189.3891,0.00034555328274932256
189.8712,0.00027302566401619043
190.3533,0.0003349885375593586
190.8355,0.00040946475875420417
191.3176,0.000404029633629009
191.7997,0.00031690995838232715
192.2818,0.0003390852540528524
192.7639,0.00035980426904565893
193.246,0.00033642376648473617
193.7282,0.00033144490169817887
194.2103,0.00030473978253918655
194.6924,0.0003321965574898014
195.1745,0.00020308381231449023
195.6566,0.0002656377182955407
196.1387,0.00024177862117940498
196.6209,0.00022498443656095426
197.103,0.00020611694516187956
197.5851,0.00017285923124075124
198.0672,0.00021265171076284174
198.5493,0.00018596985765449798
199.0314,0.00015082325890393197
199.5136,0.00022198645837114356
199.9957,0.00016568962033750479
200.4778,0.0001688156518088406
200.9599,0.0001681135905517774
201.442,9.423709889702822e-05
201.9241,0.00013224252153470924
202.4063,0.00018614122356788729
202.8884,0.00010751289810621233
203.3705,9.617333745981727e-05
203.8526,3.780437899856922e-05
204.3347,5.547545951372078e-05
204.8168,6.817678256983475e-05
205.299,0.00018090954505160488
205.7811,0.00010185141885409487
206.2632,4.9753885482938576e-05
206.7453,9.167678851982483e-05
207.2274,2.7746564006333937e-05
