wavelength,intensity
206.0,0.0
207.0,5.333704394592483e-07
208.0,8.587264075293897e-06
209.0,3.0271196850400796e-05
210.0,5.332734630157102e-05
211.0,6.342259407388152e-05
212.0,7.422576988401975e-05
213.0,8.813219188737542e-05
214.0,0.00010398784040584582
215.0,0.00011921314204131889
216.0,0.00013159218505895035
217.0,0.00014408275098665057
218.0,0.00016211552066255005
219.0,0.00018099198539723056
220.0,0.00018868221736979753
221.0,0.0001855983664652877
222.0,0.00018243693440594743
223.0,0.00017585708271189107
224.0,0.0001688020464444983
225.0,0.00014898006138532187
226.0,0.0001252353791850315
227.0,0.00010689713371198716
228.0,9.755345337709652e-05
229.0,8.864131821595017e-05
230.0,8.980503553840672e-05
231.0,9.080874172902548e-05
232.0,9.312647872958476e-05
233.0,9.649641014253183e-05
234.0,0.00010016211970826993
235.0,0.0001032944588345488
236.0,0.00010724624890872413
237.0,0.00011004886812697364
238.0,0.00011286603381175385
239.0,0.00011062587796602501
240.0,0.00010134523231943408
241.0,9.057114944235726e-05
242.0,8.2696662227068e-05
243.0,7.443911805980345e-05
244.0,6.74374188363566e-05
245.0,6.042602196855593e-05
246.0,5.3923751429330006e-05
247.0,4.8119711283578e-05
248.0,4.202959062938876e-05
249.0,3.4072673437092165e-05
250.0,2.6120605066972458e-05
251.0,2.1165108802178355e-05
252.0,1.7319992815894862e-05
253.0,1.4236141911385028e-05
254.0,1.2446926528108096e-05
255.0,1.065286232265426e-05
256.0,8.858798117200424e-06
257.0,7.064733911746589e-06
258.0,5.275518528469656e-06
259.0,3.4814543230158205e-06
260.0,1.7019365840926922e-06
261.0,3.879057741521806e-08
262.0,1.7455759836848127e-06
263.0,3.4135708125391892e-06
264.0,5.052472708332152e-06
265.0,6.6671304932406036e-06
266.0,8.252695345087643e-06
267.0,9.814016086050169e-06
268.0,1.1360790360481988e-05
269.0,1.28881693462062e-05
270.0,1.256329826035375e-05
271.0,1.2000834887833088e-05
272.0,9.188518025229779e-06
273.0,4.485160513634589e-06
274.0,1.7940642054538352e-07
275.0,2.468050488043249e-06
276.0,5.110658574454979e-06
277.0,6.002841855004994e-06
278.0,6.570154049702559e-06
279.0,8.179963012434108e-06
280.0,1.0808024632315133e-05
281.0,1.3426388607842352e-05
282.0,1.6039903761192667e-05
283.0,1.864372127018918e-05
284.0,2.4612621369955856e-05
285.0,3.132824008496549e-05
286.0,3.9018472057532466e-05
287.0,4.7785142553371746e-05
288.0,5.7085183488670275e-05
289.0,6.995880636834578e-05
290.0,8.282758042584436e-05
291.0,0.00010223256677780719
292.0,0.0001233103967808013
293.0,0.0001509874737665594
294.0,0.00018656813090066815
295.0,0.0002253732547824169
296.0,0.00028800549084146337
297.0,0.0003505552969235025
298.0,0.000414773097834396
299.0,0.0004794806297851566
300.0,0.0005273966905373047
301.0,0.0005547004082154414
302.0,0.0005743672309649569
303.0,0.0005351499571981715
304.0,0.0004959423810757398
305.0,0.00043231128764825147
306.0,0.0003618724478843924
307.0,0.00030081607903283917
308.0,0.0002511786864078907
309.0,0.00020457180764350624
310.0,0.00017990584922960448
311.0,0.00015525443728223336
312.0,0.00014051886668662743
313.0,0.00012838226477784108
314.0,0.00012013441825493034
315.0,0.00011525165432278976
316.0,0.00011155200300181334
317.0,0.00011503345732482915
318.0,0.00011851006282566806
319.0,0.00012706338514572365
320.0,0.00013676587832170506
321.0,0.0001454258747296525
322.0,0.00015299973496997381
323.0,0.00015985112070593673
324.0,0.00016320165683017618
325.0,0.00016652310002135425
326.0,0.00016274101872337048
327.0,0.0001576497554376231
328.0,0.00015032318512832378
329.0,0.00014098435361561005
330.0,0.00013290621586889087
331.0,0.00012976902792043513
332.0,0.00012659789821674105
333.0,0.0001308406176215305
334.0,0.00013597552030687
335.0,0.0001434814970367147
336.0,0.00015275244503895182
337.0,0.0001587601357161337
338.0,0.00015539990194754044
339.0,0.00015200572642370887
340.0,0.0001406788778184652
341.0,0.000128833205240293
342.0,0.0001209005321588809
343.0,0.00011525650314496666
344.0,0.0001082402574549891
345.0,9.830017199233947e-05
346.0,8.839887710710506e-05
347.0,9.095905521650945e-05
348.0,9.349983803720623e-05
349.0,9.310223461870024e-05
350.0,9.141969332331516e-05
351.0,9.218580722726572e-05
352.0,9.676794418443836e-05
353.0,0.00010080216423562104
354.0,9.90129488523441e-05
355.0,9.720433818035956e-05
356.0,9.700068764892966e-05
357.0,9.723343111342097e-05
358.0,9.541512279708262e-05
359.0,9.132756570195402e-05
360.0,8.649813881375937e-05
361.0,7.812907173642607e-05
362.0,6.974060937038516e-05
363.0,6.31413623876212e-05
364.0,5.680395180240994e-05
365.0,5.043744828413728e-05
366.0,4.40273053662725e-05
367.0,3.979428360583683e-05
368.0,4.169987072135941e-05
369.0,4.3513330215520856e-05
370.0,4.114710499319256e-05
371.0,3.853358983984224e-05
372.0,3.5818249420776975e-05
373.0,3.300593255817367e-05
374.0,3.166280881517174e-05
375.0,3.2879863181574206e-05
376.0,3.383508115042395e-05
377.0,3.2744096160620946e-05
378.0,3.1687052926056255e-05
379.0,2.9025049550936912e-05
380.0,2.6110907422618656e-05
381.0,2.456898197036374e-05
382.0,2.4418668482879768e-05
383.0,2.3565275779744973e-05
384.0,1.937589341890142e-05
385.0,1.5210755168942382e-05
386.0,1.8745546535904127e-05
387.0,2.3085242384231647e-05
388.0,2.3531334024506655e-05
389.0,2.1582107509391947e-05
390.0,1.9657125105161753e-05
391.0,1.7756386811816065e-05
392.0,1.6180519604322833e-05
393.0,2.0719017161903344e-05
394.0,2.5291456474722176e-05
395.0,2.347799698056073e-05
396.0,1.9647427460807944e-05
397.0,1.8832825335088367e-05
398.0,2.136875933360825e-05
399.0,2.4326540861518628e-05
400.0,2.9020200728760013e-05
401.0,3.37235582403552e-05
402.0,3.6511630992074e-05
403.0,3.911059967889361e-05
404.0,4.171926601006702e-05
405.0,4.4342478807771145e-05
406.0,4.9317370361272855e-05
407.0,5.861741129657139e-05
408.0,6.789805694316231e-05
409.0,7.715445847886872e-05
410.0,8.639146472586752e-05
411.0,0.00010067609485902158
412.0,0.00011639112753436179
413.0,0.00012893987932818482
414.0,0.00013842902432838254
415.0,0.00014532889828611445
416.0,0.0001441166927418889
417.0,0.0001428802430867788
418.0,0.00014568286230502833
419.0,0.00014835456332450148
420.0,0.00014505251542203102
421.0,0.00013913695236621027
422.0,0.00013411842141311644
423.0,0.00013031694482642508
424.0,0.00012813497484681904
425.0,0.00013496696529407434
426.0,0.00014178440927479892
427.0,0.00015427497520249914
428.0,0.0001675025621010885
429.0,0.00018336305944173577
430.0,0.00020086730750035293
431.0,0.00022435015330309055
432.0,0.0002589852901127034
433.0,0.0002923645819784985
434.0,0.00031201200943930645
435.0,0.00033165943690011444
436.0,0.00032850285366295103
437.0,0.0003203083441839862
438.0,0.00029899777071650083
439.0,0.00026721374134690653
440.0,0.00023668555692112991
441.0,0.00020916364224503269
442.0,0.0001819326568995496
443.0,0.00016298830865439247
444.0,0.00014405365805358916
445.0,0.00013010359665064137
446.0,0.00011761303072294116
447.0,0.00010734807417443907
448.0,9.916811116200497e-05
449.0,9.209852842808148e-05
450.0,8.821462186438278e-05
451.0,8.432101765633026e-05
452.0,7.827938522391004e-05
453.0,7.223775279148984e-05
454.0,6.780108049962427e-05
455.0,6.390262746939486e-05
456.0,6.317530414285952e-05
457.0,6.569184285267179e-05
458.0,6.613308567076989e-05
459.0,6.003811619440375e-05
460.0,5.3943146718037616e-05
461.0,5.424862251518246e-05
462.0,5.461713300062703e-05
463.0,5.339038098987075e-05
464.0,5.1606014428770726e-05
465.0,5.193573433680008e-05
466.0,5.446681951314306e-05
467.0,5.54220374819928e-05
468.0,5.147994505217127e-05
469.0,4.753785262234973e-05
470.0,5.00592401543389e-05
471.0,5.260002297503569e-05
472.0,5.352129918864712e-05
473.0,5.39092049627993e-05
474.0,5.211029193516856e-05
475.0,4.817789714970083e-05
476.0,4.5961985414856494e-05
477.0,4.852701234643779e-05
478.0,5.104839987842697e-05
479.0,5.145570094128676e-05
480.0,5.1863002004146545e-05
481.0,5.057321530509054e-05
482.0,4.8817941677051925e-05
483.0,4.9424044449164706e-05
484.0,5.202301313598432e-05
485.0,5.3972239651099025e-05
